Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,time_of_day,day_name,month_name
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79000092,7,16.0265007,336.556488,3/13/2019,44:00.0,Credit card,320.5299988,4.761904716,16.0265007,7,Evening,Wednesday,March
101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.81999969,2,6.282000065,131.9219971,1/17/2019,36:00.0,Ewallet,125.6399994,4.761904716,6.282000065,4.900000095,Afternoon,Thursday,January
102-06-2002,C,Naypyitaw,Member,Male,Sports and travel,25.25,5,6.3125,132.5625,3/20/2019,52:00.0,Cash,126.25,4.761904716,6.3125,6.099999905,Evening,Wednesday,March
102-77-2261,C,Naypyitaw,Member,Male,Health and beauty,65.30999756,7,22.85849953,480.0285034,3/5/2019,02:00.0,Credit card,457.1700134,4.761904716,22.85849953,4.199999809,Evening,Tuesday,March
105-10-6182,A,Yangon,Member,Male,Fashion accessories,21.47999954,2,2.148000002,45.10800171,2/27/2019,22:00.0,Ewallet,42.95999908,4.761904716,2.148000002,6.599999905,Afternoon,Wednesday,February
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.51999664,7,24.33200073,510.9719849,2/1/2019,10:00.0,Credit card,486.6400146,4.761904716,24.33200073,8.5,Afternoon,Friday,February
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34000015,2,4.434000015,93.11399841,3/27/2019,26:00.0,Cash,88.68000031,4.761904716,4.434000015,5.800000191,Morning,Wednesday,March
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61000061,6,29.28300095,614.9429932,1/7/2019,01:00.0,Ewallet,585.6599731,4.761904716,29.28300095,9.899999619,Afternoon,Monday,January
109-86-4363,B,Mandalay,Member,Female,Sports and travel,60.08000183,7,21.02799988,441.5880127,2/14/2019,36:00.0,Credit card,420.5599976,4.761904716,21.02799988,4.5,Morning,Thursday,February
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages,39.43000031,6,11.82900047,248.4089966,3/25/2019,18:00.0,Credit card,236.5800018,4.761904716,11.82900047,9.399999619,Evening,Monday,March
